max_nw,active_workers_history,service_time_history,service_time_goal,emitter_elapsed_time_history,workers_elapsed_time_history,collector_elapsed_time_history
8,1,25,1000,175,1036,1108
8,1,100,1000,1,1037,0
8,1,147,1000,1072,1050,1036
8,1,192,1000,2,1050,0
8,1,234,1000,1048,1044,1051
8,1,275,1000,1052,1054,1017
8,1,312,1000,1016,1015,1013
8,1,347,1000,1018,1016,1062
8,1,382,1000,1059,1059,1052
8,1,415,1000,1052,1044,1012
8,1,444,1000,1016,1011,1016
8,1,472,1000,1010,1009,1044
8,1,498,1000,1012,1010,1019
8,1,523,1000,1009,1008,1010
8,1,547,1000,1009,1008,1010
8,1,570,1000,1009,1008,1008
8,1,591,1000,1009,1008,1009
8,1,611,1000,1009,1008,1010
8,1,630,1000,1009,1007,1009
8,1,648,1000,1008,1007,1011
8,1,666,1000,1008,1008,1001
8,1,683,1000,1009,1011,1011
8,1,703,1000,1077,1085,1129
8,1,721,1000,1090,1074,995
8,1,736,1000,1011,1029,1091
8,1,751,1000,1080,1047,1012
8,1,765,1000,1015,1034,1057
8,1,780,1000,1088,1065,1086
8,1,793,1000,1054,1048,1067
8,1,806,1000,1069,1066,1072
8,1,821,1000,1072,1106,1082
8,1,832,1000,1082,1052,1009
8,1,840,1000,1017,1010,1003
8,1,848,1000,1011,1009,1069
8,1,858,1000,1067,1066,1047
8,1,867,1000,1047,1046,1067
8,1,876,1000,1066,1066,1068
8,1,885,1000,1068,1066,1070
8,1,894,1000,1070,1069,1071
8,1,902,1000,1071,1070,1070
8,1,910,1000,1070,1069,1071
8,1,918,1000,1071,1070,1070
8,1,925,1000,1070,1070,1072
8,1,932,1000,1072,1071,1070
8,1,938,1000,1070,1069,1070
8,1,944,1000,1070,1069,1077
8,1,950,1000,1077,1076,1044
8,1,954,1000,1043,1042,1070
8,1,959,1000,1070,1069,1070
8,1,964,1000,1070,1069,1051
8,1,968,1000,1051,1050,1070
8,1,973,1000,1070,1069,1051
8,1,976,1000,1052,1051,1071
8,1,980,1000,1071,1070,1071
8,1,984,1000,1071,1070,1050
8,1,987,1000,1050,1049,1072
8,1,991,1000,1072,1071,1056
8,1,994,1000,1056,1055,1070
8,1,997,1000,1071,1070,1050
8,1,999,1000,1050,1049,1070
8,1,1002,1000,1070,1069,1050
8,1,1004,1000,1050,1049,1070
8,1,1007,1000,1070,1069,1071
8,1,1010,1000,1071,1071,1071
8,1,1012,1000,1071,1069,1052
8,1,1014,1000,1056,1056,1068
8,1,1016,1000,1071,1070,1071
8,1,1018,1000,1071,1070,1070
8,1,1020,1000,1070,1070,1071
8,1,1022,1000,1071,1070,1070
8,1,1024,1000,1070,1069,1070
8,1,1026,1000,1070,1069,1071
8,1,1028,1000,1071,1070,1071
8,1,1030,1000,1071,1070,1071
8,1,1032,1000,1071,1070,1071
8,1,1033,1000,1071,1070,1071
8,1,1034,1000,1071,1070,1070
8,1,1035,1000,1070,1070,1071
8,1,1036,1000,1071,1070,1070
8,1,1037,1000,1070,1067,1053
8,1,1037,1000,1053,1052,1070
8,1,1038,1000,1070,1069,1070
8,1,1039,1000,1070,1069,1071
8,1,1040,1000,1071,1070,1071
8,1,1041,1000,1071,1070,1070
8,1,1042,1000,1070,1069,1070
8,1,1043,1000,1070,1070,1071
8,1,1044,1000,1071,1070,1070
8,1,1045,1000,1070,1069,1071
8,1,1046,1000,1071,1070,1070
8,1,1047,1000,1070,1069,1077
8,1,1048,1000,1077,1076,1070
8,1,1049,1000,1070,1069,1071
8,1,1050,1000,1071,1070,1031
8,1,1049,1000,1033,1032,1053
8,1,1049,1000,1052,1051,1071
8,1,1050,1000,1071,1070,1070
8,1,1050,1000,1070,1069,1071
8,1,1051,1000,1071,1070,1075
8,1,1052,1000,1075,1074,1071
8,1,1402,1000,1071,8070,8072
8,2,1735,1000,8072,8071,8071
8,2,1025,1000,8071,8070,8071
8,2,1175,1000,3,8066,0
8,3,1318,1000,8068,8070,8071
8,3,969,1000,2,8069,0
8,3,1054,1000,8069,8065,8015
8,3,1137,1000,2,8111,35
8,4,1215,1000,1,8125,20
8,4,966,1000,8020,8009,7961
8,4,1017,1000,30,8010,30
8,4,1067,1000,30,8019,30
8,4,1113,1000,2,8013,7
8,5,1158,1000,7955,8010,7949
8,5,960,1000,23,8008,25
8,5,992,1000,38,8008,40
8,5,1022,1000,2,8007,7965
8,5,1051,1000,7951,8024,0
8,5,1078,1000,2,8014,13
8,6,1122,1000,16,9724,37
8,6,954,1000,46,8006,1643
8,6,973,1000,7962,8015,6315
8,7,1125,1000,6,24004,8
8,7,973,1000,50,8041,5666
8,7,982,1000,1645,8009,2336
8,7,990,1000,1,8008,15
8,7,997,1000,6304,8024,20
8,7,1062,1000,17,16010,8
8,8,1094,1000,6,11952,1688
8,8,959,1000,5650,8008,3941
8,8,1011,1000,2337,16050,2334
8,8,1011,1000,1,8008,1762
8,8,1010,1000,1738,8006,0
8,8,1021,1000,6,9763,0
8,8,1019,1000,7,8007,7894
8,8,1018,1000,3923,8014,20
8,8,1067,1000,2330,15946,6
8,8,1086,1000,1657,11568,3622
8,8,1132,1000,6,16036,4388
8,8,1125,1000,3632,8012,7
8,8,1169,1000,1,15956,0
8,8,1210,1000,1,15944,6
8,8,1324,1000,2708,27986,7947
8,8,1368,1000,1671,17647,0
8,8,1377,1000,11,12352,6
8,8,1408,1000,3622,15995,9
8,8,1387,1000,4381,8018,50
8,8,1393,1000,15,11957,3938
8,8,1398,1000,1,11982,10
8,8,1378,1000,1,8030,4032
8,8,1359,1000,7957,8039,0
8,8,1391,1000,2,15905,7866
8,8,1470,1000,1,23864,6
8,8,1447,1000,4006,8013,125
8,8,1449,1000,4011,12027,5
8,8,1427,1000,1,8007,4
8,8,1455,1000,1,15911,7873
8,8,1432,1000,9,8032,5
8,8,1411,1000,7868,8009,6
