max_nw,active_workers_history,service_time_history,service_time_goal,emitter_elapsed_time_history,workers_elapsed_time_history,collector_elapsed_time_history
256,8,191,200,14248,1913,2205
256,8,231,200,589,1929,11
256,8,481,200,98,4356,2
256,8,545,200,122,4496,1
256,8,566,200,166,4570,1
256,8,647,200,113,5347,637
256,8,502,200,3155,3727,265
256,8,486,200,223,3860,171
256,8,246,200,170,1491,2
256,8,206,200,96,1574,322
256,8,200,200,46,1590,3
256,8,650,200,43,6104,1
256,8,217,200,44,873,362
256,8,166,200,430,1231,3
256,8,131,200,251,985,270
256,8,121,200,162,954,2
256,8,120,200,52,966,2224
256,8,109,200,283,855,3
256,8,145,200,52,1236,1
256,8,157,200,75,1281,1
256,8,783,200,228,7525,1
256,8,252,200,103,958,1
256,8,147,200,169,974,1
256,8,150,200,50,1205,1
256,8,123,200,374,936,1
256,8,120,200,251,960,1
256,8,120,200,53,967,1
256,8,118,200,91,939,1
256,8,160,200,51,1370,1
256,8,128,200,84,960,1
256,8,164,200,53,1391,1
256,8,126,200,44,937,1
256,8,154,200,304,1291,1
256,8,116,200,169,854,173
256,8,118,200,275,957,348
256,8,117,200,78,941,2
256,8,121,200,54,977,180
256,8,146,200,47,1226,231
256,8,123,200,47,945,2
256,8,112,200,253,874,1
256,8,143,200,50,1213,1
256,8,157,200,55,1288,399
256,8,126,200,375,954,47
256,8,119,200,49,943,107
256,8,118,200,117,948,125
256,8,109,200,241,855,238
256,8,119,200,50,981,40
256,8,147,200,48,1238,270
256,8,161,200,39,1320,181
256,8,127,200,268,947,2
256,8,121,200,125,964,40
256,8,150,200,51,1259,207
256,8,125,200,115,957,2
256,8,112,200,211,876,32
256,8,117,200,128,950,303
256,8,116,200,191,932,417
256,8,146,200,174,1236,2
256,8,123,200,51,939,1
256,8,108,200,80,835,212
256,8,144,200,121,1225,2
256,8,126,200,51,979,1
256,8,148,200,46,1229,262
256,8,123,200,222,934,2
256,8,119,200,430,945,435
256,8,110,200,52,867,162
256,8,125,200,60,1034,3
256,8,126,200,81,1014,41
256,8,149,200,47,1239,4
256,8,126,200,45,962,305
256,8,152,200,164,1273,2
256,8,152,200,53,1220,247
256,8,125,200,421,954,176
256,8,110,200,119,852,2
256,8,120,200,45,987,129
256,8,118,200,137,948,172
256,8,118,200,51,952,242
256,8,155,200,177,1313,41
256,8,156,200,48,1253,282
256,8,119,200,155,881,7
256,8,122,200,211,987,1
256,8,150,200,49,1255,137
256,8,127,200,107,970,6
256,8,120,200,139,955,233
256,8,119,200,233,952,231
256,8,110,200,147,867,322
256,8,145,200,200,1234,3
256,8,122,200,52,932,1
256,8,117,200,44,932,246
256,8,148,200,45,1247,2
256,8,124,200,100,950,143
256,8,145,200,120,1203,2
256,8,124,200,233,952,227
256,8,111,200,295,867,208
256,8,119,200,148,969,283
256,8,121,200,47,981,7
256,8,121,200,87,971,235
256,8,150,200,47,1266,2
256,8,158,200,87,1284,200
256,8,127,200,46,957,2
256,8,152,200,180,1273,43
256,8,658,200,220,6278,5489
256,8,842,200,271,7109,1115
256,8,889,200,197,7209,220
256,8,899,200,153,7219,142
256,8,933,200,143,7540,558
256,8,1113,200,160,9263,1488
256,8,1140,200,168,9177,41
256,8,1173,200,190,9457,484
256,8,855,200,4990,6207,2154
256,8,874,200,1106,7039,1948
256,8,877,200,225,7028,207
256,8,885,200,128,7096,208
256,8,885,200,551,7086,474
256,8,792,200,1491,6158,3240
256,8,1049,200,166,8908,110
256,8,1103,200,357,8933,191
256,8,1112,200,2153,8917,292
256,8,926,200,1950,7037,2222
256,8,886,200,203,7011,260
256,8,884,200,201,7072,188
256,8,884,200,545,7081,561
256,8,794,200,3250,6173,2337
256,8,1058,200,158,8992,2969
256,8,1109,200,125,8975,145
256,8,1108,200,309,8867,296
256,8,923,200,2229,7018,341
256,8,884,200,145,6994,61
256,8,882,200,298,7054,346
256,8,882,200,551,7061,557
256,8,794,200,2324,6179,1447
256,8,859,200,2896,7008,4507
256,8,871,200,124,6996,218
256,8,880,200,299,7066,439
256,8,880,200,346,7047,506
256,8,1074,200,143,8984,2
256,8,1109,200,331,8949,120
256,8,1118,200,558,8966,276
256,8,842,200,1465,6183,94
256,8,870,200,4514,7017,5352
256,8,874,200,127,7007,207
256,8,880,200,408,7059,467
256,8,797,200,531,6216,285
256,8,864,200,138,7053,150
256,8,1067,200,126,8942,1992
256,8,1108,200,251,8954,208
256,8,1111,200,139,8900,137
256,8,834,200,5288,6123,3553
256,8,867,200,137,7010,2
256,8,877,200,437,7041,240
256,8,884,200,272,7091,515
256,8,882,200,240,7058,405
256,8,1066,200,2001,8898,3837
256,8,1105,200,143,8923,229
256,8,1107,200,195,8865,183
256,8,839,200,3550,6179,841
256,8,881,200,123,7138,961
256,8,887,200,122,7107,33
256,8,882,200,419,7049,551
256,8,879,200,486,7030,387
256,8,789,200,3846,6141,4118
256,8,1049,200,137,8911,1684
256,8,1096,200,153,8866,3
256,8,922,200,865,7029,254
256,8,1071,200,965,8875,3
256,8,914,200,110,7000,1
256,8,888,200,463,7056,602
256,8,881,200,466,7038,458
256,8,792,200,4127,6167,3159
256,8,860,200,1601,7017,2794
256,8,889,200,140,7178,298
256,8,881,200,132,7040,334
256,8,881,200,101,7051,467
256,8,1075,200,123,8988,608
256,8,1114,200,349,8991,3
256,8,1129,200,451,9070,268
256,8,844,200,3254,6189,1411
256,8,871,200,2706,7026,3549
256,8,875,200,250,7011,356
256,8,881,200,374,7062,398
256,8,881,200,462,7053,455
256,8,791,200,617,6149,1382
256,8,1050,200,154,8923,1017
256,8,1107,200,201,8978,150
256,8,1113,200,1404,8915,187
256,8,925,200,3551,7028,3075
256,8,886,200,227,7011,341
256,8,882,200,432,7057,443
256,8,880,200,450,7039,358
256,8,791,200,1479,6150,572
256,8,1046,200,1013,8884,3747
256,8,1095,200,142,8866,237
256,8,1106,200,199,8872,191
256,8,923,200,3075,7025,1125
256,8,885,200,212,7007,321
256,8,880,200,457,7039,390
256,8,789,200,431,6130,109
256,8,863,200,581,7054,336
256,8,527,200,3755,3552,2397
256,8,461,200,130,3563,209
256,8,401,200,207,3096,155
256,8,436,200,1215,3559,353
256,8,442,200,215,3550,437
256,8,397,200,485,3093,2323
256,8,433,200,97,3541,64
256,8,440,200,342,3540,209
256,8,984,200,2405,8960,79
256,8,1090,200,204,8938,129
256,8,1112,200,150,8941,195
256,8,576,200,356,3539,101
256,8,470,200,432,3557,453
256,8,407,200,2321,3131,1884
256,8,438,200,105,3573,521
256,8,441,200,176,3533,169
256,8,442,200,80,3541,519
256,8,441,200,131,3526,436
256,8,540,200,185,4526,118
256,8,560,200,98,4524,127
256,8,565,200,455,4533,200
256,8,427,200,1884,3147,1053
256,8,438,200,519,3527,924
256,8,441,200,166,3541,162
256,8,444,200,518,3561,539
256,8,445,200,431,3563,436
256,8,401,200,131,3126,1072
256,8,531,200,118,4509,1
256,8,557,200,203,4508,121
256,8,561,200,1049,4501,189
256,8,466,200,917,3540,1010
256,8,446,200,163,3531,160
256,8,445,200,540,3558,565
256,8,444,200,434,3552,428
256,8,401,200,1072,3123,641
256,8,537,200,71,4568,1446
256,8,558,200,84,4514,75
256,8,561,200,160,4493,170
256,8,466,200,1009,3546,58
256,8,447,200,151,3539,153
256,8,443,200,566,3536,562
256,8,443,200,423,3552,443
256,8,401,200,645,3128,215
256,8,437,200,1449,3572,2204
256,8,440,200,90,3534,113
256,8,540,200,163,4525,527
256,8,463,200,78,3553,51
256,8,546,200,127,4542,41
256,8,561,200,548,4517,143
256,8,424,200,446,3126,44
256,8,437,200,214,3529,185
256,8,441,200,2209,3543,2438
256,8,440,200,105,3519,87
256,8,401,200,533,3130,425
256,8,440,200,90,3599,235
256,8,442,200,64,3547,365
256,8,538,200,78,4503,482
256,8,565,200,73,4579,174
256,8,564,200,150,4518,91
256,8,465,200,2445,3530,1670
256,8,446,200,82,3530,46
256,8,402,200,407,3129,22
256,8,435,200,232,3547,657
256,8,441,200,359,3542,355
256,8,538,200,492,4506,1452
256,8,556,200,172,4483,148
256,8,560,200,84,4491,96
256,8,435,200,1678,3237,533
256,8,441,200,85,3540,187
256,8,442,200,128,3541,89
256,8,444,200,542,3558,698
256,8,443,200,350,3550,345
256,8,401,200,1461,3127,1811
256,8,531,200,145,4511,595
256,8,462,200,83,3562,30
256,8,445,200,544,3532,76
256,8,541,200,181,4519,58
256,8,558,200,95,4500,76
256,8,466,200,690,3544,546
256,8,449,200,339,3561,365
256,8,404,200,1820,3147,1391
256,8,441,200,605,3605,1084
256,8,451,200,95,3635,104
256,8,445,200,82,3550,615
256,8,540,200,68,4517,175
256,8,461,200,88,3532,168
256,8,554,200,431,4618,89
256,8,573,200,366,4622,81
256,8,428,200,1392,3138,819
256,8,441,200,1085,3556,1505
256,8,440,200,84,3526,72
256,8,442,200,626,3542,626
256,8,444,200,176,3562,366
256,8,399,200,160,3108,538
256,8,531,200,89,4519,248
256,8,557,200,78,4512,257
256,8,562,200,830,4508,76
256,256,16,200,1509,4076,31
256,256,14,200,76,3644,38
256,256,14,200,612,3577,3
256,256,13,200,364,3506,24
256,256,20,200,540,5783,23
256,256,18,200,275,4491,25
